,0
1122,EIF4ENIF1
1123,SHANK1
1124,BBX
1125,PYGB
1126,RBM24
1127,ZNF394
1128,DARS
1129,GLUL
1130,NOP2
1131,HMBS
1132,WDR6
1133,PRDM14
1134,CLDND1
1135,RAB37
1136,ZNF536
1137,TGFBI
1138,CLCN6
1139,ALCAM
1140,FOXP4
1141,ZNF12
1142,CASS4
1143,C16orf91
1144,PKN2
1145,LRRC8D
1146,OBSL1
1147,SGSM3
1148,KLHL14
1149,SLC38A3
1150,MAPK8IP3
1151,POLR1B
1152,PRUNE2
1153,TUBB8
1154,PDE6B
1155,SLC17A7
1156,TULP4
1157,STK33
1158,GHR
1159,NRG2
1160,PTPRJ
1161,TLE3
1162,ARHGEF12
1163,CCDC39
1164,DNAH6
1165,EPHB2
1166,ARHGAP17
1167,EPHX1
1168,ELL3
1169,MX1
1170,PPOX
1171,ALS2CL
1172,ZNF304
1173,KIF22
1174,CAPRIN2
1175,SMAD4
1176,FGFR1
1177,SMC3
1178,NFATC2
1179,MYO7B
1180,HECW2
1181,ARHGAP28
1182,DAB2IP
1183,TCP10
1184,RASAL2
1185,FAF1
1186,DGKG
1187,APBA1
1188,MED23
1189,FAT1
1190,SMO
1191,HHATL
1192,SYNJ2
1193,DENND1A
1194,FBN2
1195,HAO1
1196,TFDP1
1197,SWAP70
1198,PIK3R6
1199,ZSCAN1
1200,PRKCE
1201,EEF1A2
1202,E2F8
1203,SUSD2
1204,DSN1
1205,KDM4B
1206,CASC3
1207,BFSP1
1208,SNX10
1209,DDX4
1210,IL22RA2
1211,SLC8A1
1212,NRIP1
1213,ZHX2
1214,ZNF419
1215,SYNPO2
1216,GPR161
1217,GMIP
1218,HIST1H1E
1219,PIAS2
1220,TNS3
1221,AACS
1222,LTBP2
1223,TSHZ2
1224,RINT1
1225,INTS1
1226,TMTC2
1227,FIGNL1
1228,FARS2
1229,SYNPR
1230,NUAK1
1231,AHCYL2
1232,LPIN1
1233,PIWIL2
1234,SLC12A4
1235,NLRP12
1236,RREB1
1237,PPFIA3
1238,GJA5
1239,HMGCS1
1240,ITGAV
1241,CHERP
1242,MAN2B1
1243,SPHKAP
1244,SKIV2L
1245,ZPLD1
1246,NUP43
1247,ZNF292
1248,ACSL6
1249,RIF1
1250,KIF27
1251,MYH10
1252,CCDC88A
1253,IFT172
