AGID00386,AGID00386,DM-K9-Histone-H3,H3C1
AGID00352,AGID00352,DNA-Ligase-IV,LIG4
AGID00407,AGID00407,DNA_POLG,POLG
AGID00399,AGID00399,DNMT1,DNMT1
AGID00409,AGID00409,DRP1,DNM1L
AGID00253,AGID00253,DUSP4,DUSP4
AGID00334,AGID00334,DUSP6,DUSP6
AGID00116,AGID00116,DVL3,DVL3
AGID00211,AGID00211,E2F1,E2F1
AGID00148,AGID00148,ECADHERIN,CDH1
AGID00135,AGID00135,EEF2,EEF2
AGID00136,AGID00136,EEF2K,EEF2K
AGID00152,AGID00152,EGFR,EGFR
AGID00450,AGID00450,EGFR_pY1068,EGFR
AGID00026,AGID00026,EGFR_pY1173,EGFR
AGID00078,AGID00078,EIF4E,EIF4E
AGID00328,AGID00328,eIF4E_pS209,EIF4E
AGID00154,AGID00154,EIF4G,EIF4G1
AGID00027,AGID00027,Elk1_pS383,ELK1
AGID00235,AGID00235,EMA,MUC1
AGID00394,AGID00394,Enolase-1,ENO1
AGID00395,AGID00395,Enolase-2,ENO2
AGID00196,AGID00196,ENY2,ENY2
AGID00438,AGID00438,EphA2,EPHA2
AGID00552,AGID00552,EphA2_pS897,EPHA2
AGID00553,AGID00553,EphA2_pY588,EPHA2
AGID00075,AGID00075,EPPK1,EPPK1
AGID00335,AGID00335,ERALPHA,ESR1
AGID00029,AGID00029,ERALPHA_pS118,ESR1
AGID00240,AGID00240,ERCC1,ERCC1
AGID00239,AGID00239,ERCC5,ERCC5
AGID00484,AGID00484,ERK2,MAPK1
AGID00372,AGID00372,Erk5,MAPK7
AGID00405,AGID00405,ERRalpha,ESRRA
AGID00187,AGID00187,ETS1,ETS1
AGID00511,AGID00511,EVI1,MECOM
AGID00485,AGID00485,EZH2,EZH2
AGID00030,AGID00030,FAK,PTK2
AGID02151,AGID02151,FAK_pY397,PTK2
AGID00171,AGID00171,FASN,FASN
AGID00356,AGID00356,FGF-basic,FGF2
AGID00031,AGID00031,FIBRONECTIN,FN1
AGID00339,AGID00339,FN14,TNFRSF12A
AGID02152,AGID02152,FOXM1,FOXM1
AGID00378,AGID00378,FOXO3A,FOXO3
AGID02197,AGID02197,FOXO3A_pS318S321,FOXO3
AGID02167,AGID02167,FRS2-alpha_pY196,FRS2
AGID02213,AGID02213,FTO,FTO
AGID02141,AGID02141,G6PD,G6PD
AGID00117,AGID00117,GAB2,GAB2
AGID00412,AGID00412,GAPDH,GAPDH
AGID00086,AGID00086,GATA3,GATA3
AGID00383,AGID00383,GATA6,GATA6
AGID00289,AGID00289,GCLC,GCLC
AGID00305,AGID00305,GCLM,GCLM
AGID00212,AGID00212,GCN5L2,KAT2A
AGID00270,AGID00270,Gli1,GLI1
AGID00263,AGID00263,Gli3,GLI3
AGID00548,AGID00548,Glucocorticoid-Receptor,NR3C1
AGID00387,AGID00387,Glutamate-D1-2,GLUD1
AGID00262,AGID00262,Glutaminase,GLS
AGID00319,AGID00319,Granzyme-B,GZMB
AGID00368,AGID00368,GRB7,GRB7
AGID00396,AGID00396,Grp75,HSPA9
AGID00174,AGID00174,GSK-3B,GSK3B
AGID00502,AGID00502,GSK3_pS9,GSK3B
AGID00033,AGID00033,GSK3ALPHABETA,GSK3A
AGID00033,AGID00033,GSK3ALPHABETA,GSK3B
AGID00034,AGID00034,GSK3ALPHABETA_pS21S9,GSK3A
AGID00034,AGID00034,GSK3ALPHABETA_pS21S9,GSK3B
AGID00129,AGID00129,GYS,GYS1
AGID00130,AGID00130,GYS_pS641,GYS1
AGID01354,AGID01354,H2AX_pS139,H2AX
AGID00363,AGID00363,H2AX_pS140,H2AX
AGID00131,AGID00131,HER2,ERBB2
AGID00142,AGID00142,HER2_pY1248,ERBB2
AGID00110,AGID00110,HER3,ERBB3
AGID00080,AGID00080,HER3_pY1289,ERBB3
AGID00103,AGID00103,HEREGULIN,NRG1
AGID00271,AGID00271,HES1,HES1
AGID00397,AGID00397,Hexokinase-I,HK1
AGID00442,AGID00442,Hexokinase-II,HK2
AGID00419,AGID00419,HIF1ALPHA,HIF1A
AGID00205,AGID00205,Histone-H3,H3C1
AGID00398,AGID00398,Histone-H3_pS10,H3C1
AGID00332,AGID00332,HLA-DQA1,HLA-DQA1
AGID00333,AGID00333,HMHA1,ARHGAP45
AGID00035,AGID00035,HSP27,HSPB1
AGID00036,AGID00036,HSP27_pS82,HSPB1
AGID00320,AGID00320,HSP60,HSPD1
AGID00037,AGID00037,HSP70,HSPA1A
AGID00366,AGID00366,IDO,IDO1
AGID00197,AGID00197,IGF1R_pY1135Y1136,IGF1R
AGID00197,AGID00197,IGF1R_pY1135Y1136,INSR
AGID00038,AGID00038,IGFBP2,IGFBP2
AGID00090,AGID00090,IGFBP3,IGFBP3
AGID00039,AGID00039,IGFRb,IGF1R
AGID00336,AGID00336,IL-6,IL6
AGID02221,AGID02221,IMP3,IGF2BP3
AGID02153,AGID02153,INPP4B,INPP4B
AGID00272,AGID00272,IR-b,INSR
AGID00519,AGID00519,IRF-3,IRF3
AGID00520,AGID00520,IRF-3_pS396,IRF3
